Pathway_ID,Pathway_Name,Genes
R-HSA-112382,Formation of RNA Pol II elongation complex,"AFF4,CCNH,CCNK,CCNT1,CCNT2,CDC73,CDK7,CDK9,CTDP1,CTR9,EAF1,EAF2,ELL,ELOA,ELOA2,ELOB,ELOC,ERCC2,ERCC3,GTF2F1,GTF2F2,GTF2H1,GTF2H2,GTF2H3,GTF2H4,GTF2H5,IWS1,LEO1,MLLT1,MLLT3,MNAT1,NCBP1,NCBP2,NELFA,NELFB,NELFCD,NELFE,PAF1,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,RTF1,SKIC8,SSRP1,SUPT16H,SUPT4H1,SUPT5H,SUPT6H,TCEA1"
R-HSA-112409,RAF-independent MAPK1/3 activation,"CDK1,DUSP1,DUSP10,DUSP16,DUSP2,DUSP4,DUSP5,DUSP6,DUSP7,DUSP8,DUSP9,IL6,IL6R,IL6ST,JAK1,JAK2,MAP2K1,MAP2K2,MAPK1,MAPK3,PEA15,PTPN11,TYK2"
R-HSA-113418,Formation of the Early Elongation Complex,"CCNH,CDK7,CTDP1,ERCC2,ERCC3,GTF2F1,GTF2F2,GTF2H1,GTF2H2,GTF2H3,GTF2H4,GTF2H5,MNAT1,NCBP1,NCBP2,NELFA,NELFB,NELFCD,NELFE,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,SUPT4H1,SUPT5H"
R-HSA-113510,E2F mediated regulation of DNA replication,"CCNB1,CDK1,E2F1,MCM8,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,POLA1,POLA2,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R3B,PRIM1,PRIM2,RB1,TFDP1,TFDP2"
R-HSA-114452,Activation of BH3-only proteins,"AKT1,AKT2,AKT3,BAD,BBC3,BCL2,BCL2L11,BID,BMF,DYNLL1,DYNLL2,E2F1,MAPK8,PMAIP1,PPP1R13B,PPP3CC,PPP3R1,SFN,TFDP1,TFDP2,TP53,TP53BP2,TP63,TP73,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ"
R-HSA-114508,Effects of PIP2 hydrolysis,"ABHD12,ABHD6,DAGLA,DAGLB,DGKA,DGKB,DGKD,DGKE,DGKG,DGKH,DGKI,DGKK,DGKQ,DGKZ,ITPR1,ITPR2,ITPR3,MGLL,PRKCD,PRKCE,PRKCH,PRKCQ,RASGRP1,RASGRP2,TRPC3,TRPC6,TRPC7"
R-HSA-114604,GPVI-mediated activation cascade,"CDC42,CLEC1B,COL1A1,COL1A2,FCER1G,FYN,GP6,LAT,LCK,LCP2,LYN,MPIG6B,PDPK1,PDPN,PIK3CA,PIK3CB,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIK3R6,PLCG2,PRKCZ,PTPN11,PTPN6,RAC1,RAC2,RHOA,RHOB,RHOG,SYK,VAV1,VAV2,VAV3"
R-HSA-114608,Platelet degranulation,"A1BG,A2M,ABCC4,ACTN1,ACTN2,ACTN4,AHSG,ALB,ALDOA,ANXA5,APLP2,APOA1,APOH,APOOL,APP,BRPF3,CALM1,CALU,CAP1,CD109,CD36,CD63,CD9,CDC37L1,CFD,CFL1,CHID1,CLEC3B,CLU,CTSW,CYB5R1,CYRIB,ECM1,EGF,ENDOD1,F13A1,F5,F8,FAM3C,FERMT3,FGA,FGB,FGG,FLNA,FN1,GAS6,GTPBP2,HABP4,HGF,HRG,HSPA5,IGF1,IGF2,ISLR,ITGA2B,ITGB3,ITIH3,ITIH4,KNG1,LAMP2,LEFTY2,LGALS3BP,LHFPL2,LY6G6F,MAGED2,MANF,MMRN1,NHLRC2,OLA1,ORM1,ORM2,PCDH7,PCYOX1L,PDGFA,PDGFB,PECAM1,PF4,PFN1,PHACTR2,PLEK,PLG,POTEKP,PPBP,PPIA,PROS1,PSAP,QSOX1,RAB27B,RARRES2,SCCPDH,SCG3,SELENOP,SELP,SERPINA1,SERPINA3,SERPINA4,SERPINE1,SERPINF2,SERPING1,SOD1,SPARC,SPP2,SRGN,STXBP2,SYTL4,TAGLN2,TEX264,TF,TGFB1,TGFB2,TGFB3,THBS1,TIMP1,TIMP3,TLN1,TMSB4X,TMX3,TOR4A,TTN,TUBA4A,VCL,VEGFA,VEGFB,VEGFC,VEGFD,VTI1B,VWF,WDR1"
R-HSA-1168372,Downstream signaling events of B Cell Receptor (BCR),"ADRM1,BCL10,BTRC,CALM1,CARD11,CHUK,CUL1,FBXW11,FKBP1A,HRAS,IKBKB,IKBKG,KRAS,MALT1,MAP3K7,NFATC1,NFATC2,NFATC3,NFKB1,NFKBIA,NFKBIB,NFKBIE,NRAS,PPIA,PPP3CA,PPP3CB,PPP3R1,PRKCB,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RASGRP1,RASGRP3,REL,RELA,RPS27A,SEM1,SKP1,UBA52,UBB,UBC"
R-HSA-1169091,Activation of NF-kappaB in B cells,"ADRM1,BCL10,BTRC,CARD11,CHUK,CUL1,FBXW11,IKBKB,IKBKG,MALT1,MAP3K7,NFKB1,NFKBIA,NFKBIB,NFKBIE,PRKCB,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,REL,RELA,RPS27A,SEM1,SKP1,UBA52,UBB,UBC"
