Pathway_ID,Pathway_Name,Genes
R-HSA-5620971,Pyroptosis,"BAK1,BAX,CASP1,CASP3,CASP4,CASP5,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP6,CHMP7,CYCS,ELANE,GSDMD,GSDME,GZMB,HMGB1,IL18,IL1A,IL1B,IRF1,IRF2,TP53,TP63"
R-HSA-5621480,Dectin-2 family,"CLEC10A,CLEC4A,CLEC4C,CLEC4D,CLEC4E,CLEC6A,FCER1G,FYN,LYN,MUC1,MUC12,MUC13,MUC15,MUC16,MUC17,MUC19,MUC2,MUC20,MUC21,MUC3A,MUC3B,MUC4,MUC5AC,MUC5B,MUC6,MUC7,MUCL1,PLCG2,SYK,env"
R-HSA-5621481,C-type lectin receptors (CLRs),"ADRM1,AHCYL1,BCL10,BTRC,CALM1,CARD11,CARD9,CASP8,CCL17,CCL22,CD209,CDC34,CHUK,CLEC10A,CLEC4A,CLEC4C,CLEC4D,CLEC4E,CLEC6A,CLEC7A,CREBBP,CUL1,EP300,FBXW11,FCER1G,FYN,HRAS,ICAM2,ICAM3,IKBKB,IKBKG,IL1B,ITPR1,ITPR2,ITPR3,KRAS,LYN,MALT1,MAP3K14,MAP3K7,MUC1,MUC12,MUC13,MUC15,MUC16,MUC17,MUC19,MUC2,MUC20,MUC21,MUC3A,MUC3B,MUC4,MUC5AC,MUC5B,MUC6,MUC7,MUCL1,NFATC1,NFATC2,NFATC3,NFKB1,NFKB2,NFKBIA,NRAS,PAK1,PAK2,PAK3,PDPK1,PLCG2,PPP3CA,PPP3CB,PPP3R1,PRKACA,PRKACB,PRKACG,PRKCD,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PYCARD,RAF1,RELA,RELB,RPS27A,RPS6KA5,SEM1,SKP1,SRC,SYK,TAB1,TAB2,TAB3,TRAF6,UBA3,UBA52,UBB,UBC,UBE2D1,UBE2D2,UBE2M,UBE2N,UBE2V1,env"
R-HSA-5621575,CD209 (DC-SIGN) signaling,"CD209,CREBBP,EP300,FYN,HRAS,ICAM2,ICAM3,KRAS,LYN,NFKB1,NRAS,PAK1,PAK2,PAK3,PRKACA,PRKACB,PRKACG,RAF1,RELA,RELB,RPS6KA5"
R-HSA-5625740,RHO GTPases activate PKNs,"AR,CDC25C,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AJ,H2AX,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3C1,H3C15,H4C1,KDM1A,KDM4C,KLK2,KLK3,MYH10,MYH11,MYH14,MYH9,MYL12B,MYL6,MYL9,NCOA2,PAK1,PDPK1,PKN1,PKN2,PKN3,PPP1CB,PPP1R12A,PPP1R12B,PPP1R14A,RAC1,RHOA,RHOB,RHOC,SFN,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ"
R-HSA-5625886,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,"AR,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AJ,H2AX,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3C1,H3C15,H4C1,KDM1A,KDM4C,KLK2,KLK3,NCOA2,PKN1"
R-HSA-5625900,RHO GTPases activate CIT,"CDKN1B,CIT,DLG4,KIF14,MYH10,MYH11,MYH14,MYH9,MYL12B,MYL6,MYL9,PPP1CB,PPP1R12A,PPP1R12B,PRC1,RAC1,RHOA,RHOB,RHOC"
R-HSA-5626467,RHO GTPases activate IQGAPs,"ACTB,ACTG1,CALM1,CDC42,CDH1,CLIP1,CTNNA1,CTNNB1,IQGAP1,IQGAP2,IQGAP3,MEN1,RAC1,TUBA1A,TUBA1B,TUBA1C,TUBA3C,TUBA3D,TUBA3E,TUBA4A,TUBA4B,TUBA8,TUBAL3,TUBB1,TUBB2A,TUBB2B,TUBB3,TUBB4A,TUBB4B,TUBB6,TUBB8,TUBB8B"
R-HSA-5627117,RHO GTPases Activate ROCKs,"CFL1,LIMK1,LIMK2,MYH10,MYH11,MYH14,MYH9,MYL12B,MYL6,MYL9,PAK1,PPP1CB,PPP1R12A,PPP1R12B,RHOA,RHOB,RHOC,ROCK1,ROCK2"
R-HSA-5627123,RHO GTPases activate PAKs,"CALM1,CDC42,CTTN,FLNA,LIMK1,MYH10,MYH11,MYH14,MYH9,MYL12B,MYL6,MYL9,MYLK,NF2,PAK1,PAK2,PAK3,PPP1CB,PPP1R12A,PPP1R12B,RAC1"
R-HSA-5628897,TP53 Regulates Metabolic Genes,"AGO1,AGO2,AGO3,AGO4,AKT1,AKT2,AKT3,COX4I1,COX4I2,COX5A,COX5B,COX6A1,COX6A2,COX6B1,COX6B2,COX6C,COX7A1,COX7A2,COX7A2L,COX7B,COX7C,COX8A,COX8C,COXFA4,CYCS,DDIT4,G6PD,GLS,GLS2,GPI,GPX2,GSR,HIGD1C,LAMTOR1,LAMTOR2,LAMTOR3,LAMTOR4,LAMTOR5,MIR26A1,MIR26A2,MLST8,MOV10,MT-CO1,MT-CO2,MT-CO3,MTOR,PRDX1,PRDX2,PRDX5,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,PTEN,RHEB,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,RRM2B,SCO2,SESN1,SESN2,SESN3,SFN,SLC38A9,TIGAR,TNRC6A,TNRC6B,TNRC6C,TP53,TP63,TSC1,TSC2,TXN,TXNRD1,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ"
R-HSA-5632684,Hedgehog 'on' state,"ADRM1,ARRB1,ARRB2,BOC,CDC73,CDON,CSNK1A1,CUL3,DHH,DRC4,DZIP1,EFCAB7,EVC,EVC2,GAS1,GLI1,GLI2,GLI3,GPR161,GRK2,HHIP,IHH,IQCE,ITCH,KIF3A,KIF7,NUMB,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTCH1,PTCH2,RBX1,RPS27A,SEM1,SHH,SMO,SMURF1,SMURF2,SPOP,SPOPL,SUFU,UBA52,UBB,UBC,ULK3"
R-HSA-5633007,Regulation of TP53 Activity,"AKT1,AKT2,AKT3,ATM,ATR,ATRIP,AURKA,AURKB,BANP,BARD1,BLM,BRCA1,BRD1,BRD7,BRIP1,BRPF1,BRPF3,CCNA1,CCNA2,CCNG1,CDK1,CDK2,CDK5,CDK5R1,CDKN2A,CHD3,CHD4,CHEK1,CHEK2,CSNK2A1,CSNK2A2,CSNK2B,DAXX,DNA2,DYRK2,EHMT1,EHMT2,EP300,EXO1,GATAD2A,GATAD2B,HDAC1,HDAC2,HIPK1,HIPK2,HUS1,ING2,ING5,JMY,KAT5,KAT6A,KMT5A,L3MBTL1,MAP2K6,MAPK11,MAPK14,MAPKAP1,MAPKAPK5,MBD3,MDM2,MDM4,MEAF6,MLST8,MRE11,MTA2,MTOR,NBN,NOC2L,NUAK1,PDPK1,PHF20,PIN1,PIP4K2A,PIP4K2B,PIP4K2C,PIP4P1,PLK3,PML,POU4F1,POU4F2,PPP1R13B,PPP1R13L,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5C,PRDM1,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,PRMT5,PRR5,RAD1,RAD17,RAD50,RAD9A,RAD9B,RBBP4,RBBP7,RBBP8,RFC2,RFC3,RFC4,RFC5,RFFL,RHNO1,RICTOR,RMI1,RMI2,RNF34,RPA1,RPA2,RPA3,RPS27A,SETD9,SGK1,SMYD2,SSRP1,STK11,SUPT16H,TAF1,TAF10,TAF11,TAF12,TAF13,TAF15,TAF1L,TAF2,TAF3,TAF4,TAF4B,TAF5,TAF6,TAF7,TAF7L,TAF8,TAF9,TAF9B,TBP,TOP3A,TOPBP1,TP53,TP53BP2,TP53INP1,TP53RK,TP63,TP73,TPX2,TTC5,UBA52,UBB,UBC,USP2,USP7,WRN,ZNF385A"
R-HSA-5633008,TP53 Regulates Transcription of Cell Death Genes,"AIFM2,APAF1,ATM,BAX,BBC3,BCL2L14,BCL6,BID,BIRC5,BNIP3L,CASP1,CASP10,CASP2,CASP6,CHM,CRADD,CREBBP,FAS,IGFBP3,NDRG1,NLRC4,PERP,PIDD1,PMAIP1,PPP1R13B,PRELID1,PRELID3A,RABGGTA,RABGGTB,STEAP3,TMEM219,TNFRSF10A,TNFRSF10B,TNFRSF10C,TNFRSF10D,TP53,TP53AIP1,TP53BP2,TP53I3,TP53INP1,TP63,TP73,TRIAP1,ZNF420"
R-HSA-5635838,Activation of SMO,"ARRB1,ARRB2,BOC,CDON,CSNK1A1,DHH,DRC4,EFCAB7,EVC,EVC2,GAS1,GRK2,IHH,IQCE,KIF3A,PTCH1,SHH,SMO"
R-HSA-5637810,Constitutive Signaling by EGFRvIII,"CBL,CDC37,EGF,EGFR,GAB1,GRB2,HRAS,HSP90AA1,KRAS,NRAS,PIK3CA,PIK3R1,PLCG1,SHC1,SOS1"
R-HSA-5651801,PCNA-Dependent Long Patch Base Excision Repair,"APEX1,FEN1,LIG1,PCNA,POLB,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3"
R-HSA-5654219,Phospholipase C-mediated cascade: FGFR1,"FGF1,FGF10,FGF17,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF8,FGF9,FGFR1,KL,PLCG1"
R-HSA-5654228,Phospholipase C-mediated cascade; FGFR4,"FGF1,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF23,FGF4,FGF6,FGF8,FGF9,FGFR4,KLB,PLCG1"
R-HSA-5654687,Downstream signaling of activated FGFR1,"FGF1,FGF10,FGF17,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF8,FGF9,FGFR1,FLRT1,FLRT2,FLRT3,FRS2,FRS3,GAB1,GRB2,HRAS,KL,KRAS,NRAS,PIK3CA,PIK3R1,PLCG1,PTPN11,SHC1,SOS1"
R-HSA-5654688,SHC-mediated cascade:FGFR1,"FGF1,FGF10,FGF17,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF8,FGF9,FGFR1,GRB2,HRAS,KL,KRAS,NRAS,SHC1,SOS1"
R-HSA-5654689,PI-3K cascade:FGFR1,"FGF1,FGF10,FGF17,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF8,FGF9,FGFR1,FRS2,GAB1,GRB2,KL,PIK3CA,PIK3R1,PTPN11"
R-HSA-5654693,FRS-mediated FGFR1 signaling,"FGF1,FGF10,FGF17,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF8,FGF9,FGFR1,FRS2,FRS3,GRB2,HRAS,KL,KRAS,NRAS,PTPN11,SOS1"
R-HSA-5654695,PI-3K cascade:FGFR2,"FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR2,FRS2,GAB1,GRB2,PIK3CA,PIK3R1,PTPN11"
R-HSA-5654696,Downstream signaling of activated FGFR2,"FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR2,FRS2,FRS3,GAB1,GRB2,HRAS,KRAS,NRAS,PIK3CA,PIK3R1,PLCG1,PTPN11,SHC1,SOS1"
R-HSA-5654699,SHC-mediated cascade:FGFR2,"FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR2,GRB2,HRAS,KRAS,NRAS,SHC1,SOS1"
R-HSA-5654700,FRS-mediated FGFR2 signaling,"FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR2,FRS2,FRS3,GRB2,HRAS,KRAS,NRAS,PTPN11,SOS1"
R-HSA-5654704,SHC-mediated cascade:FGFR3,"FGF1,FGF16,FGF17,FGF18,FGF2,FGF20,FGF23,FGF4,FGF5,FGF8,FGF9,FGFR3,GRB2,HRAS,KRAS,NRAS,SHC1,SOS1"
R-HSA-5654706,FRS-mediated FGFR3 signaling,"FGF1,FGF16,FGF17,FGF18,FGF2,FGF20,FGF23,FGF4,FGF5,FGF8,FGF9,FGFR3,FRS2,FRS3,GRB2,HRAS,KRAS,NRAS,PTPN11,SOS1"
R-HSA-5654708,Downstream signaling of activated FGFR3,"FGF1,FGF16,FGF17,FGF18,FGF2,FGF20,FGF23,FGF4,FGF5,FGF8,FGF9,FGFR3,FRS2,FRS3,GAB1,GRB2,HRAS,KRAS,NRAS,PIK3CA,PIK3R1,PLCG1,PTPN11,SHC1,SOS1"
R-HSA-5654710,PI-3K cascade:FGFR3,"FGF1,FGF16,FGF17,FGF18,FGF2,FGF20,FGF23,FGF4,FGF5,FGF8,FGF9,FGFR3,FRS2,GAB1,GRB2,PIK3CA,PIK3R1,PTPN11"
R-HSA-5654712,FRS-mediated FGFR4 signaling,"FGF1,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF23,FGF4,FGF6,FGF8,FGF9,FGFR4,FRS2,FRS3,GRB2,HRAS,KLB,KRAS,NRAS,PTPN11,SOS1"
R-HSA-5654716,Downstream signaling of activated FGFR4,"FGF1,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF23,FGF4,FGF6,FGF8,FGF9,FGFR4,FRS2,FRS3,GAB1,GRB2,HRAS,KLB,KRAS,NRAS,PIK3CA,PIK3R1,PLCG1,PTPN11,SHC1,SOS1"
R-HSA-5654719,SHC-mediated cascade:FGFR4,"FGF1,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF23,FGF4,FGF6,FGF8,FGF9,FGFR4,GRB2,HRAS,KLB,KRAS,NRAS,SHC1,SOS1"
R-HSA-5654720,PI-3K cascade:FGFR4,"FGF1,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF23,FGF4,FGF6,FGF8,FGF9,FGFR4,FRS2,GAB1,GRB2,KLB,PIK3CA,PIK3R1,PTPN11"
R-HSA-5654726,Negative regulation of FGFR1 signaling,"ANOS1,BRAF,CBL,FGF1,FGF10,FGF17,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF8,FGF9,FGFR1,FRS2,GRB2,KL,MAPK1,MAPK3,MKNK1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SPRY2,SRC,UBA52,UBB,UBC"
R-HSA-5654727,Negative regulation of FGFR2 signaling,"BRAF,CBL,FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR2,FRS2,GRB2,MAPK1,MAPK3,MKNK1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SPRY2,SRC,UBA52,UBB,UBC"
R-HSA-5654732,Negative regulation of FGFR3 signaling,"BRAF,CBL,FGF1,FGF16,FGF17,FGF18,FGF2,FGF20,FGF23,FGF4,FGF5,FGF8,FGF9,FGFR3,FRS2,GRB2,MAPK1,MAPK3,MKNK1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SPRY2,SRC,UBA52,UBB,UBC"
R-HSA-5654733,Negative regulation of FGFR4 signaling,"BRAF,CBL,FGF1,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF23,FGF4,FGF6,FGF8,FGF9,FGFR4,FRS2,GRB2,KLB,MAPK1,MAPK3,MKNK1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SPRY2,SRC,UBA52,UBB,UBC"
R-HSA-5654736,Signaling by FGFR1,"ANOS1,BRAF,CBL,FGF1,FGF10,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF8,FGF9,FGFR1,FGFRL1,FLRT1,FLRT2,FLRT3,FRS2,FRS3,GAB1,GIPC1,GRB2,HRAS,KL,KRAS,MAPK1,MAPK3,MKNK1,NRAS,PIK3CA,PIK3R1,PLCG1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SHC1,SOS1,SPRED1,SPRED2,SPRY2,SRC,TGFBR3,UBA52,UBB,UBC"
R-HSA-5654738,Signaling by FGFR2,"BRAF,CBL,ESRP1,ESRP2,FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFBP1,FGFBP2,FGFBP3,FGFR2,FGFR2b,FGFR2c,FRS2,FRS3,GAB1,GRB2,GTF2F1,GTF2F2,HNRNPA1,HNRNPF,HNRNPH1,HNRNPM,HRAS,KRAS,MAPK1,MAPK3,MKNK1,NCBP1,NCBP2,NRAS,PIK3CA,PIK3R1,PLCG1,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,PPP2CA,PPP2CB,PPP2R1A,PTBP1,PTPN11,RBFOX2,RPS27A,SHC1,SOS1,SPRY2,SRC,TIA1,TIAL1,UBA52,UBB,UBC"
R-HSA-5654741,Signaling by FGFR3,"BRAF,CBL,FGF1,FGF16,FGF17,FGF18,FGF2,FGF20,FGF23,FGF4,FGF5,FGF8,FGF9,FGFR3,FRS2,FRS3,GAB1,GALNT3,GRB2,HRAS,KRAS,MAPK1,MAPK3,MKNK1,NRAS,PIK3CA,PIK3R1,PLCG1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SHC1,SOS1,SPRY2,SRC,UBA52,UBB,UBC"
R-HSA-5654743,Signaling by FGFR4,"BRAF,CBL,FGF1,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF23,FGF4,FGF6,FGF8,FGF9,FGFR4,FRS2,FRS3,GAB1,GRB2,HRAS,KLB,KRAS,MAPK1,MAPK3,MKNK1,NRAS,PIK3CA,PIK3R1,PLCG1,PPP2CA,PPP2CB,PPP2R1A,PTPN11,RPS27A,SHC1,SOS1,SPRY2,SRC,UBA52,UBB,UBC"
R-HSA-5655253,Signaling by FGFR2 in disease,"FGF1,FGF10,FGF16,FGF17,FGF18,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR2,FRS2,GAB1,GRB2,GTF2F1,GTF2F2,HRAS,KRAS,NCBP1,NCBP2,NRAS,PIK3CA,PIK3R1,PLCG1,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,SOS1"
R-HSA-5655302,Signaling by FGFR1 in disease,"BAG4,BCR,CEP43,CNTRL,CPSF6,CUX1,ERLIN2,FGF1,FGF17,FGF2,FGF20,FGF23,FGF4,FGF5,FGF6,FGF8,FGF9,FGFR1,FGFR1OP2,FRS2,GAB1,GAB2,GRB2,HRAS,KRAS,LRRFIP1,MYO18A,NRAS,PIK3CA,PIK3R1,PLCG1,SOS1,STAT1,STAT3,STAT5A,STAT5B,TRIM24,ZMYM2"
R-HSA-5655332,Signaling by FGFR3 in disease,"FGF1,FGF16,FGF17,FGF18,FGF2,FGF20,FGF23,FGF4,FGF5,FGF8,FGF9,FGFR3,FRS2,GAB1,GRB2,HRAS,KRAS,NRAS,PIK3CA,PIK3R1,PLCG1,SOS1"
R-HSA-5656169,Termination of translesion DNA synthesis,"ISG15,PCLAF,PCNA,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,POLH,POLI,POLK,REV1,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,RPS27A,TRIM25,UBA52,UBA7,UBB,UBC,UBE2L6,USP10,USP43"
R-HSA-5658442,Regulation of RAS by GAPs,"ADRM1,CUL3,DAB2IP,HRAS,KBTBD7,KRAS,NF1,NRAS,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RASA1,RASA2,RASA3,RASA4,RASAL1,RASAL2,RASAL3,RBX1,RPS27A,SEM1,SPRED1,SPRED2,SPRED3,SYNGAP1,UBA52,UBB,UBC"
R-HSA-5663084,Diseases of carbohydrate metabolism,"ALDOB,ARSB,DCXR,EPM2A,G6PC1,G6PC3,GAA,GALNS,GBE1,GLB1,GNS,GUSB,GYG1,GYG2,GYS1,GYS2,HGSNAT,HYAL1,IDS,IDUA,KHK,LCT,NAGLU,NHLRC1,PPP1R3C,RPIA,RPS27A,SGSH,SI,SLC37A4,TALDO1,UBA52,UBB,UBC"
R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,"ACTB,ACTG1,ADAM10,ADAM17,ADRM1,AGGF1,AGK,AGO1,AGO2,AGO3,AGO4,AGTRAP,AKAP9,AKT1,AKT1S1,AKT2,AKT3,ALK,AMER1,AP3B1,APBB1IP,APC,APH1A,APH1B,ARAF,AREG,ARRB1,ARRB2,ATG7,ATIC,AXIN1,BAD,BAG4,BCL11A,BCL2A1,BCL2L1,BCL2L11,BCR,BDNF,BIN2,BIRC6,BRAF,BRAP,BTC,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CARS1,CASP9,CBL,CCNB1,CCNC,CD19,CD28,CD80,CD86,CDC37,CDK8,CDKN1A,CDKN1B,CEBPB,CEP43,CHUK,CLCN6,CLIP1,CLTC,CNKSR1,CNKSR2,CNTRL,CPSF6,CREB1,CREBBP,CSK,CSNK1A1,CTBP1,CTBP2,CTNNB1,CUL1,CUX1,DCTN1,DERL2,DHH,DKK1,DKK2,DKK4,DLL1,DLL4,DNMT1,DUSP10,DUSP16,DUSP6,DUSP7,DUSP8,DUSP9,EEF1G,EGF,EGFR,EIF2AK3,EML4,EP300,EPGN,ERBB2,ERBB3,ERBB4,ERBIN,EREG,ERLEC1,ERLIN2,ESR1,ESR2,ESRP1,ETV6,FAM114A2,FAM131B,FBXW7,FGA,FGB,FGF1,FGF10,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR1OP2,FGFR2,FGFR3,FGFR4,FGG,FIP1L1,FKBP1A,FLT3,FLT3LG,FN1,FOXM1,FOXO1,FOXO3,FOXO4,FOXO6,FRS2,FRS3,FXR1,FYN,FZD4,FZD5,FZD6,FZD8,GAB1,GAB2,GCC2,GOLGA4,GOLGB1,GRB2,GSK3A,GSK3B,GTF2F1,GTF2F2,GZMB,HBEGF,HDAC1,HDAC10,HDAC11,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HES1,HES5,HEY1,HEY2,HEYL,HGF,HHAT,HIP1,HRAS,HSP90AA1,ICOS,IHH,IL10,IL10RA,IL22,IQGAP1,IRF4,IRS1,IRS2,ITGA2B,ITGB3,JAG1,JAG2,JAK2,JUN,JUNB,KANK1,KAT2A,KAT2B,KDM7A,KDR,KIAA1549,KIF5B,KIT,KITLG,KL,KLB,KLC1,KRAS,KREMEN1,KREMEN2,KSR1,KSR2,LCK,LMNA,LMO7,LRP5,LRP6,LRRFIP1,LYN,MAML1,MAML2,MAML3,MAMLD1,MAP2K1,MAP2K2,MAP3K11,MAPK1,MAPK3,MAPK8,MAPK9,MAPKAP1,MARK3,MCL1,MDM2,MECP2,MET,MIB1,MIB2,MIR21,MLST8,MOV10,MPRIP,MRAS,MSN,MTOR,MYC,MYH9,MYO18A,NCBP1,NCBP2,NCOR1,NCOR2,NCSTN,NEURL1,NEURL1B,NF1,NOTCH1,NOX4,NPM1,NR4A1,NRAS,NRG1,NRG2,NRG3,NRG4,NTF3,NTF4,NTRK2,NTRK3,OS9,PAPSS1,PDGFA,PDGFB,PDGFRA,PDGFRB,PDPK1,PEBP1,PHB1,PIK3AP1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIK3R6,PIM1,PLCG1,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2K,POLR2L,PORCN,PPFIBP1,PPM1B,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRF1,PRKAR1A,PRR5,PSEN1,PSEN2,PSENEN,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTEN,PTPN11,PTPN12,PTPN6,QKI,RAC1,RAC2,RAF1,RANBP2,RAP1A,RAP1B,RB1,RBPJ,RBX1,RHOG,RICTOR,RNF213,RNF43,RPS27A,RPS6,RPS6KB2,RRBP1,SEC31A,SEL1L,SEM1,SHC1,SHH,SHOC2,SKP1,SMAD2,SMAD3,SMAD4,SND1,SNW1,SOS1,SPRED1,SPRED2,SPRED3,SPTBN1,SQSTM1,SRC,STAT1,STAT3,STAT5A,STAT5B,STRN,SYVN1,TBL1X,TBL1XR1,TCF7L2,TENT4A,TFG,TGFA,TGFB1,TGFBR1,TGFBR2,TLN1,TNKS,TNKS2,TNRC6C,TP53,TPM3,TPM4,TPR,TRAK1,TRAT1,TRIM24,TRIP11,TSC2,TWIST1,TYK2,UBA52,UBB,UBC,VAV1,VCL,VCP,VWF,WDCP,WDR48,WNT3A,YES1,YWHAB,ZAP70,ZC3HAV1,ZC3HC1,ZFYVE9,ZMYM2"
R-HSA-5663213,RHO GTPases Activate WASPs and WAVEs,"ABI1,ABI2,ABL1,ACTB,ACTG1,ACTR2,ACTR3,ARPC1A,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,BAIAP2,BRK1,BTK,CDC42,CYFIP1,CYFIP2,GRB2,MAPK1,MAPK3,NCK1,NCKAP1,NCKAP1L,NCKIPSD,PTK2,RAC1,WAS,WASF1,WASF2,WASF3,WASL,WIPF1,WIPF2,WIPF3"
