slug,venue,title,github_repo,all_github_repos,repo_status
BOunbuapcv,ICML 2024 Poster,VQDNA: Unleashing the Power of Vector Quantization for Multi-Species Genomic Sequence Modeling,,,
BbZy8nI1si,ICLR 2025 Poster,Learning Molecular Representation in a Cell,https://github.com/liugangcode/InfoAlign,https://github.com/liugangcode/InfoAlign,live
BsA2GNkJhz,ICLR 2026 Poster,CellAgent: LLM-Driven Multi-Agent Framework  for Natural Language-Based Single-Cell Analysis,https://github.com/23AIBox/cellagent,https://github.com/23AIBox/cellagent,live
C45YqeBDUM,ICLR 2025 Poster,The KoLMogorov Test: Compression by Code Generation,https://github.com/vllm-project/vllm,https://github.com/vllm-project/vllm,live
C5OIolrNJd,ICLR 2026 Poster,GeneBreaker: Jailbreak Attacks against DNA Language Models with Pathogenicity Guidance,,,
CF3kJrAwmV,ICLR 2026 Poster,BioBO: Biology-informed Bayesian Optimization for Perturbation Design,,,
DTatjJTDl1,ICLR 2025 Poster,Trivialized Momentum Facilitates Diffusion Generative Modeling on Lie Groups,https://github.com/yuchen-zhu-zyc/TDM,https://github.com/yuchen-zhu-zyc/TDM,live
DpLFmc09pC,ICLR 2025 Poster,DEPfold: RNA Secondary Structure Prediction as Dependency Parsing.,https://github.com/yzhangcs/parser,https://github.com/yzhangcs/parser;https://github.com/Vicky-0256/DEPfold;https://github.com/Vicky-0256/DEPfold.git,live
DzSNH5APPl,ICLR 2026 Poster,Learning Explicit Single-Cell Dynamics Using ODE Representations,https://github.com/czi-ai/cell-mnn,https://github.com/czi-ai/cell-mnn;https://github.com/KrishnaswamyLab/TrajectoryNet,live
E1m5yGMOiV,ICLR 2025 Poster,KinPFN: Bayesian Approximation of RNA Folding Kinetics using Prior-Data Fitted Networks,https://github.com/automl/KinPFN,https://github.com/automl/KinPFN;https://github.com/automl/neps,live
EWt5wsEdvc,ICML 2024 Poster,Cell2Sentence: Teaching Large Language Models the Language of Biology,https://github.com/tatsu-lab/stanford_alpaca,https://github.com/tatsu-lab/stanford_alpaca,live
EfUrTeuUfy,ICML 2024 Poster,"Junk DNA Hypothesis: Pruning Small Pre-Trained Weights $\textit{Irreversibly}$ and $\textit{Monotonically}$ Impairs ``Difficult"" Downstream Tasks in LLMs",https://github.com/VITA-Group/Junk_DNA_Hypothesis,https://github.com/VITA-Group/Junk_DNA_Hypothesis,live
F4IMiNhim1,ICLR 2025 Poster,Regulatory DNA Sequence Design with Reinforcement Learning,https://github.com/yangzhao1230/TACO,https://github.com/yangzhao1230/TACO,live
FBhKUXK7od,ICLR 2025 Poster,Fast unsupervised ground metric learning with tree-Wasserstein distance,https://github.com/jax-ml/jax,https://github.com/jax-ml/jax;https://github.com/kiradust/tree-wsv,live
FEZOLWexPb,ICLR 2025 Poster,MAESTRO: Masked Encoding Set Transformer with Self-Distillation,,,
